categoria;animal;a12;referencia;o_que_fazer
2 - Avaliacao sem grupo de manejo;4971;P460 4971 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4972;P460 4972 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4973;P460 4973 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4974;P460 4974 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4977;P460 4977 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4978;P460 4978 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4979;P460 4979 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4981;P460 4981 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4982;P460 4982 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4984;P460 4984 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4985;P460 4985 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4986;P460 4986 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4987;P460 4987 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4988;P460 4988 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4989;P460 4989 25;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4993;P460 4993 26;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;4994;P460 4994 26;desmama de 26/08/2026;Preencher o grupo de manejo na tela da avaliacao (sai em branco no TXT)
2 - Avaliacao sem grupo de manejo;(nao encontrado);PJLK 1114 17;desmama de 09/01/2018;A avaliacao esta com registro JLK mas na ficha o animal e Nelore comum. Marcar como PO na ficha, ou corrigir o registro da avaliacao
2 - Avaliacao sem grupo de manejo;(nao encontrado);PJLK 1115 17;desmama de 09/01/2018;A avaliacao esta com registro JLK mas na ficha o animal e Nelore comum. Marcar como PO na ficha, ou corrigir o registro da avaliacao
2 - Avaliacao sem grupo de manejo;(nao encontrado);PJLK 1118 17;desmama de 09/01/2018;A avaliacao esta com registro JLK mas na ficha o animal e Nelore comum. Marcar como PO na ficha, ou corrigir o registro da avaliacao
3 - Data de nascimento errada na ficha;1472;;ficha 11/10/2019 / parto 25/09/2019;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1548;;ficha 29/03/2020 / parto 21/03/2020;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1612;;ficha 28/11/2020 / parto 26/11/2020;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1671;;ficha 28/01/2022 / parto 08/01/2022;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1704;;ficha 16/02/2022 / parto 09/02/2022;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1708;;ficha 16/02/2022 / parto 11/02/2022;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1710;;ficha 29/08/2021 / parto 25/08/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1718;;ficha 20/10/2021 / parto 06/10/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1739;;ficha 24/12/2021 / parto 29/12/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;1740;;ficha 25/12/2021 / parto 29/12/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2134;;ficha 08/08/2025 / parto 07/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2135;;ficha 08/08/2025 / parto 07/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2143;;ficha 17/08/2025 / parto 14/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2173;;ficha 02/10/2025 / parto 08/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2174;;ficha 03/10/2025 / parto 11/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2177;;ficha 15/10/2022 / parto 11/10/2022;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2179;;ficha 28/10/2025 / parto 29/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2267;;ficha 08/11/2022 / parto 20/11/2022;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;2652;;ficha 31/03/2023 / parto 20/03/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;268;;ficha 01/09/2020 / parto 23/09/2020;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;3006;;ficha 06/09/2023 / parto 05/10/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;31;;ficha 13/04/2021 / parto 30/03/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;3406;;ficha 16/02/2023 / parto 28/01/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;3452;;ficha 17/03/2023 / parto 09/04/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;3453;;ficha 17/03/2023 / parto 12/04/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;3459;;ficha 20/03/2023 / parto 09/04/2023;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4102;;ficha 20/12/2024 / parto 11/12/2024;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4103;;ficha 20/12/2024 / parto 11/12/2024;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;437;;ficha 29/07/2026 / parto 25/07/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4486;;ficha 20/07/2025 / parto 28/07/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;45;;ficha 15/04/2021 / parto 22/03/2021;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4513;;ficha 01/08/2025 / parto 30/07/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4538;;ficha 01/08/2025 / parto 05/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4539;;ficha 02/08/2025 / parto 05/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4540;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4541;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4542;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4543;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4544;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4545;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4546;;ficha 02/08/2025 / parto 06/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4554;;ficha 08/08/2025 / parto 07/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4572;;ficha 01/08/2025 / parto 10/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4601;;ficha 13/08/2025 / parto 14/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4610;;ficha 15/08/2025 / parto 14/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;462;;ficha 14/11/2020 / parto 29/11/2020;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4627;;ficha 18/08/2025 / parto 16/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4645;;ficha 21/08/2025 / parto 22/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4660;;ficha 26/08/2025 / parto 25/08/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4787;;ficha 02/10/2025 / parto 03/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4810;;ficha 09/10/2025 / parto 10/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4818;;ficha 14/10/2025 / parto 13/10/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4927;;ficha 07/12/2025 / parto 06/12/2025;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;4995;;ficha 04/01/2026 / parto 02/01/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5029;;ficha 05/01/2026 / parto 15/01/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5032;;ficha 05/01/2026 / parto 15/01/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5052;;ficha 05/02/2026 / parto 08/02/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5059;;ficha 08/02/2026 / parto 05/02/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5072;;ficha 20/02/2026 / parto 16/02/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5073;;ficha 20/02/2026 / parto 17/02/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5074;;ficha 16/02/2026 / parto 17/02/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;5352;;ficha 25/07/2026 / parto 29/07/2026;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;6903;;ficha 09/11/2015 / parto 28/10/2015;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;9285;;ficha 02/08/2019 / parto 01/08/2019;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;9397;;ficha 31/08/2019 / parto 26/08/2019;Corrigir a data de nascimento na ficha para a data do parto confirmado
3 - Data de nascimento errada na ficha;9580;;ficha 12/11/2019 / parto 07/11/2019;Corrigir a data de nascimento na ficha para a data do parto confirmado
4 - Pai ou mae sem A12;FORTUNA;;(sem nome) - 3 filho(s) - registro: FEMEA;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;GIR VERMELHA;;(sem nome) - 2 filho(s) - registro: FEMEA;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;7602 G;;1,51E+12 - 1 filho(s) - registro: FEMEA;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;G CORUJA;;1,39E+12 - 1 filho(s) - registro: FEMEA;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;PITOCA SALINA;;(sem nome) - 1 filho(s) - registro: vazio;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;SABB3673;;DHAMEKH FIV DA SABIA - 1 filho(s) - registro: RGD SABB367;Preencher o codigo de registro com o A12 do PAINT (a genealogia dos filhos sai em branco no TXT)
4 - Pai ou mae sem A12;UBRUDA;;(sem nome) - 1 filho(s) - registro: vazio;Preencher a data de nascimento na ficha (a genealogia dos filhos sai em branco no TXT)
